article_id,authors,publication_year,DOI,title,journal,section_in_doc,duplicate
285788,"Satici, Gocet Tekin, Deniz, & Satici",2022,10.1007/s11482-022-10110-7,"Doomscrolling Scale: Its Association with Personality Traits, Psychological Distress, Social Media Use, and Wellbeing",Applied Research in Quality of Life,1.1,T
119515,Sampasa-Kanyinga & Lewis,2015,10.1089/cyber.2015.0055 ,Frequent use of social networking sites is associated with poor psychological functioning among children and adolescents,"Cyberpsychology, Behavior, and Social Networking",1.1,F
365697,Robertson et al.,2022,10.1016/j.jad.2022.05.071,Associations between screen time and internalizing disorder diagnoses among 9- to 10-year-olds,Journal of Affective Disorders,1.1,F
754101,Nesi & Prinstein,2019,10.1080/15374416.2018.1437733,In Search of Likes: Longitudinal Associations Between Adolescents’ Digital Status Seeking and Health-Risk Behaviors,Journal of Clinical Child & Adolescent Psychology,2.1,F
452819,"Brannigan, Gil-Hernández, McEvoy, Cronin, Stanistreet, & Layte",2022,10.1016/j.chb.2022.107290,Digital engagement and its association with adverse psychiatric symptoms: A longitudinal cohort study utilizing latent class analysis,Computers in Human Behavior,2.1,F
87700,Orben & Przybylski,2020,10.7717/peerj.8427,Teenage sleep and technology engagement across the week,PeerJ,1.2,F
128282,Ozimek & Bierhoff,2019,10.1080/0144929X.2019.1642385,"All my online-friends are better than me – three studies about ability-based comparative social media use, self-esteem, and depressive tendencies",Behaviour & Information Technology,3.3,F
619862,"Hall, Xing, Ross, & Johnson",2019,10.1080/15213269.2019.1688171,Experimentally manipulating social media abstinence: results of a four-week diary study,Media Psychology,3.2,F
171894,Tng & Yang,2023,10.1080/0144929X.2023.2196573,Nuanced relationships between indices of smartphone use and psychological distress,Behaviour & Information Technology,1.1,F
460860,Brown & Kuss,2020,10.3390/ijerph17124566,"Fear of Missing Out, Mental Wellbeing, and Social Connectedness: A Seven-Day Social Media Abstinence Trial",International Journal of Environmental Research and Public Health,3.1,F
393924,Twenge & Campbell,2019,10.1007/s11126-019-09630-7,Media Use Is Linked to Lower Psychological Well-Being: Evidence from Three Datasets,Psychiatric Quarterly,1.1,F
525789,Davis & Goldfield,2024,10.1037/ppm0000536,"Limiting Social Media Use Decreases Depression, Anxiety, and Fear of Missing Out in Youth With Emotional Distress: A Randomized Controlled Trial",Psychology of Popular Media,3.1,F
761736,Lepp & Barkley,2022,10.1007/s12144-022-03747-y,"The experimental effect of social media use, treadmill walking, studying, and a control condition on positive and negative affect in college students",Current Psychology,3.3,F
858388,"Kelly, Zilanawala, Booker & Sacker",2019,10.1016/j.eclinm.2018.12.005,Social Media Use and Adolescent Mental Health,EClinicalMedicine (Lancet),1.1,F
715383,Twenge & Farley,2020,10.1007/s00127-020-01906-9,Not all screen time is created equal: Associations with mental health vary by activity and gender,Social Psychiatry and Psychiatric Epidemiology,1.1,F
718774,McComb & Mills,2021,10.1016/j.bodyim.2021.03.012,Young women’s body image following upwards comparison to Instagram models: The role of physical appearance perfectionism and cognitive emotion regulation,Body Image,2.3,F
552143,"Zhang, Zhu, Sun, Chen",2021,10.3389/fpsyg.2021.756010,Does Influencers Popularity Actually Matter? An Experimental Investigation of the Effect of Influencers on Body Satisfaction and Mood Among Young Chinese Females: The Case of RED (Xiaohongshu),Frontiers in Psychology,3.7,F
251219,Rothwell,2023,https://ifstudies.org/blog/how-parenting-and-self-control-mediate-the-link-between-social-media-use-and-youth-mental-health,How Parenting and Self-control Mediate the Link Between Social Media Use and Youth Mental Health,Institute for Family Studies,1.4,F
885458,Coyne et al.,2021,10.1007/s10964-020-01389-6,Suicide Risk in Emerging Adulthood: Associations with Screen Time Over 10 Years,Journal of Youth and Adolescence,2.1,F
948593,"Fioravanti, Prostamo, & Casale",2020,10.1089/cyber.2019.0400,Taking a Short Break from Instagram: The Effects on Subjective Well-Being,"Cyberpsychology, Behavior, and Social Networking",3.1,F
949671,UK Dept. for Education,2019,https://www.gov.uk/government/publications/state-of-the-nation-2019-children-and-young-peoples-wellbeing,State of the Nation 2019: Children and Young People’s Wellbeing,UK Government Report,1.2,F
952513,"Gerosa, Gui",2023,10.1016/j.ssresearch.2023.102915,"Earlier Smartphone Acquisition Negatively Impacts Language Proficiency, but Only for Heavy Media Users",Social Science Research,3.5,F
259618,Collis & Eggers,2022,10.1371/journal.pone.0272416,Effects of restricting social media usage on wellbeing and performance,PLOS ONE,3.2,F
283964,"Thai, Davis, Mahboob, Perry, Adams & Gold",2023,10.1037/ppm0000460,Reducing Social Media Use Improves Appearance and Weight Esteem in Youth With Emotional Distress,Psychology of Popular Media,3.1,F
349604,"Jarman, Marques, McLean, Slater, & Paxton",2021,10.1016/j.bodyim.2020.11.005,"Social media, body satisfaction and well-being",Body Image,1.4,F
92903,"Beeres, Andersson, Vossen, & Galanti",2020,10.1016/j.jadohealth.2020.07.042,Social media and mental health among early adolescents in Sweden: A longitudinal study with 2-year follow-up (KUPOL Study),Journal of Adolescent Health,2.2,T
657146,"Orben, Przybylski, Blakemore, Kievit",2022,10.1038/s41467-022-29296-3,Windows of developmental sensitivity to social media,Nature Comunications,2.1,F
513783,"Geng, Gu, Wang & Zhang",2021,10.1016/j.jad.2021.06.062,"Smartphone addiction and depression, anxiety: The role of bedtime procrastination and self-control.",Journal of Affective Disorders,,F
516816,"Tang, Xu, Tan, & Liu",2024,10.3389/fpsyg.2024.1347858,The impact of social network use on adolescent depression: the chain mediation between self-objectification and body satisfaction,Frontiers in Psychology,1.4,F
373452,Kerr & Kingsbury,2023,10.25318/82-003-x202300200002-eng,Online digital media use and adolescent mental health,Statistics Canada,1.1,F
673384,"Panayiotou, Black, Carmichael-Murphy, Qualter, & Humphrey",2023,10.1038/s44220-023-00063-7,Time spent on social media among the least influential factors in adolescent mental health,Nature Mental Health,1.2,F
941995,Royal Society for Public Health,2017,https://www.rsph.org.uk/about-us/news/instagram-ranked-worst-for-young-people-s-mental-health.html,Instagram ranked worst for young people’s mental health,RSPH,4.1,T
838274,Choi & Kim,2021,10.1080/15213269.2020.1824120,Between Instagram browsing and subjective well-being: Social comparison or emotional contagion?,Media Psychology,2.3,F
770980,Sagioglou & Greitemeyer,2014,10.1016/j.chb.2014.03.003,Facebook’s emotional consequences: Why Facebook causes a decrease in mood and why people still use it,Computers in Human Behavior,3.3,F
774180,Hartas,2021,10.1080/02671522.2019.1697734,The social context of adolescent mental health and wellbeing,Research Papers in Education,1.1,F
589785,"Brailovskaia, Swarlik, Grethe, Schillack & Margraf",2022,10.1007/s10389-022-01751-x,Experimental longitudinal evidence for causal role of social media use and physical activity in COVID-19 burden and mental health,Journal of Public Health,3.1,F
82005,"van der Wal, Beyens, Janssen, & Valkenburg",2024,10.31234/osf.io/qe9rn,Social Media Use Leads to Negative Mental Health Outcomes for Most Adolescents,Preprint,1.1,F
372804,"Wolgast, Lundberg, Palmqvist, & Wolgast",2023,10.1521/jscp.2023.42.6.558,Effects of Reduced and Altered Use of Social Networking Sites— A Randomized Controlled Study,Journal of Social and Clinical Psychology,3.1,F
139371,Guo,2022,https://www.elaineguo.com/research,Social Media and Teenage Mental Health: Quasi-Experimental Evidence,Working Paper,3.5,F
405427,"Brailovskaia, Krasavtseva, Kochetkov, Tour, & Margraf",2022,10.1177/17455057221141292,"Social media use, mental health, and suicide-related outcomes in Russian women",Women's Health,1.1,F
66528,"Mirea, Mildner, Kelley, Gillan, Nook, & Niv",2024,10.31234/osf.io/4ynbc,Depression is associated with higher sensitivity to social media rewards,Preprint,1.1,F
856245,"Mosquera, Odunowo, McNamara et al.",2019,10.1007/s10683-019-09625-y,The economic effects of Facebook,Experimental Economics,3.1,F
397010,Schmiedeberg & Schröder,2017,10.1007/s11482-016-9458-7,Leisure Activities and Life Satisfaction: an Analysis with German Panel Data,Applied Research in Quality of Life,2.1,F
719494,"Nesi, Mann, & Robb",2023,https://www.commonsensemedia.org/research/teens-and-mental-health-how-girls-really-feel-about-social-media,Teens and Mental Health: How Girls Really Feel About Social Media,Common Sense Media,4.3,F
964837,"Schwartz, Steinau, Kraus, & In-Albon",2022,10.1026/0942-5403/a000392,The Effect of a 1-Week Abstinence From Instagram on Mental Health in Youth and Young Adults,Kindheit und Entwicklung,3.1,F
394241,Jaidka,2022,10.1038/s41598-022-07219-y,"Cross-platform- and subgroup-differences in the well-being effects of Twitter, Instagram, and Facebook in the United States.",Scientific Reports,1.1,F
794538,"Kim, Favotto, Halladay, Wang, Boyle, & Georgiades",2020,10.1007/s00127-020-01833-9,Differential associations between passive and active forms of screen time and adolescent mood and anxiety disorders,Social Psychiatry and Psychiatric Epidemiology,1.3,F
797380,"Plackett, Sheringham, & Dykxhoorn",2023,10.2196/43213,The Longitudinal Impact of Social Media Use on UK Adolescents’ Mental Health,Journal of Medical Internet Research,2.2,F
635537,"Sewall, Merranko, Rosen, & Bear",2020,10.1177/2050157920902830,How psychosocial well-being and usage amount predict inaccuracies in retrospective estimates of digital technology use,Mobile Media & Communication,1.2,F
105205,"Aubry, Quiamzade & Meier",2024,10.1016/j.paid.2023.112458,Depressive symptoms and upward social comparisons during Instagram use: A vicious circle,Personality and Individual Differences,2.3,F
794969,Tromholt,2016,10.1089/cyber.2016.0259,The Facebook experiment: Quitting Facebook leads to higher levels of well-being,"Cyberpsychology, Behavior, and Social Networking",3.1,F
195908,Primack et al.,2017,10.1016/j.amepre.2017.01.010,Social media use and perceived social isolation among young adults in the U.S.,American Journal of Preventive Medicine,1.1,F
226379,Lowe-Calverley & Grieve,2021,10.1016/j.bodyim.2020.10.003,Do the metrics matter? An experimental investigation of Instagram influencer effects on mood and body dissatisfaction,Body Image,3.3,F
886838,"Puukko, Hietajärvi, Maksniemi, Alho, & Salmela-Aro",2020,10.3390/ijerph17165921,Social Media Use and Depressive Symptoms—A Longitudinal Study from Early to Late Adolescence,International Journal of Environmental Research and Public Health,2.2,F
655002,"Vuong, Jarman, Doley, & McLean",2021,10.3390/ijerph182413222,Social Media Use and Body Dissatisfaction in Adolescents: The Moderating Role of Thin- and Muscular-Ideal Internalisation,International Journal of Environmental Research and Public Health,1.1,F
727178,"Barry, Sidoti, Briggs, Reiter, & Lindsey",2017,10.1016/j.adolescence.2017.08.005,Adolescent social media use and mental health from adolescent and parent perspectives,Journal of Adolescence,1.1,F
520399,"Tørmoen, Myhre, Kildahl, Walby, & Rossow",2023,10.1038/s41598-023-46370-y,A nationwide study on time spent on social media and self-harm among adolescents,Scientific Reports,1.1,F
318913,"Steers, Wickham, & Acitelli",2014,10.1521/jscp.2014.33.8.701,Seeing everyone else’s highlight reels: How Facebook usage is linked to depressive symptoms,Journal of Social and Clinical Psychology,1.4,F
192999,"Klinger, Plener, Marboe, Karwautz, Kothgassner, & Dienlin",2024,10.1186/s13034-024-00797-x,Exploring the relationship between media use and depressive symptoms among gender diverse youth: findings of the Mental Health Days Study,Child and Adolescent Psychiatry and Mental Health,1.1,F
684578,"Mitev, Weinstein, Karabeliova, Nguyen, Law & Przybylski",2021,10.1037/tmb0000033,"Social media use only helps, and does not harm, daily interactions and well-being","Technology, Mind, and Behavior",2.2,F
128189,"Heffer, Good, Daly, McDonnell, & Willoughby",2019,10.1177/2167702618812727,The Longitudinal Association Between Social-Media Use and Depressive Symptoms Among Adolescents and Young Adults: An Empirical Reply to Twenge et al. (2018),Clinical Psychological Science,2.2,F
783714,Lee,2022,10.1007/s12144-020-01114-3,The effects of social comparison orientation on psychological well-being in social networking sites: Serial mediation of perceived social support and self-esteem,Current Psychology,1.4,F
458640,"Ivie, Pettitt, Moses, & Allen",2020,10.1016/j.jad.2020.06.014,A meta-analysis of the association between adolescent social media use and depressive symptoms,Journal of Affective Disorders,1.1,F
593369,Stevic & Matthes,2021,10.1016/j.tele.2021.101677,A vicious circle between children’s non-communicative smartphone use and loneliness: Parents cannot do anything about it.,Telematics & Informatics,2.1,F
992950,"Simon, Cu, De Jesus, Go, Lim, & Say",2022,10.1016/j.paid.2021.111346,Worried about being imperfect? The mediating effect of physical appearance perfectionism between Instagram addiction and body esteem,Personality and Individual Differences,1.4,F
556546,"Fitzpatrick, Lemieux, Smith, West, Bohbot, & Asbridge",2023,10.1017/S0033291723000284,Is adolescent internet use a risk factor for the development of depression symptoms or vice-versa?,Psychological Medicine,2.1,F
685596,Rapee et al.,2022,10.1016/j.brat.2022.104126,"Risk for social anxiety in early adolescence: Longitudinal impact of pubertal development, appearance comparisons, and peer connections",Behaviour Research and Therapy,2.1,F
9078,"Chu, Ganson, Baker, Testa, Jackson, Murray, & Nagata",2023,10.1016/j.ypmed.2023.107452,Screen time and suicidal behaviors among U.S. children 9–11 years old: A prospective cohort study,Preventive Medicine,2.1,F
616859,"Hunt, Marx, Lipson & Young",2018,10.1521/jscp.2018.37.10.751,No more FOMO: Limiting social media decreases loneliness and depression,Journal of Social and Clinical Psychology,3.1,F
318799,Mundy et al.,2020,10.1002/da.23117,Social networking and symptoms of depression and anxiety in early adolescence.,Journal of Abnormal Child Psychology,2.1,F
841753,"Anderl, Hofer, & Chen",2023,10.1177/02654075231158300,Directly-measured smartphone screen time predicts well-being and social connectedness,Journal of Social and Personal Relationships,1.1,F
848053,Twenge & Martin,2020,10.1016/j.adolescence.2019.12.018,Gender differences in associations between digital media use and psychological well-being: Evidence from three large datasets,Journal of Adolescence,1.1,F
611040,"Di Cara, Winstone, Sloan, Davis, & Haworth",2022,10.1038/s44184-022-00011-w,The mental health and well-being profile of young adults using social media,Npj Mental Health Research,1.2,F
502196,Boer et al.,2020,10.1016/j.jadohealth.2020.02.014,Adolescents’ Intense and Problematic Social Media Use and Their Well-Being in 29 Countries,Journal of Adolescent Health,1.1,F
159078,"McAlister, Hisler, Blake, Twenge, Farley, & Hamilton",2021,10.1007/s10802-021-00832-x,Associations Between Adolescent Depression and Self-Harm Behaviors and Screen Media Use in a Nationally Representative Time-Diary Study,Research on Child and Adolescent Psychopathology,1.1,F
832648,"Jeong, Kim, Ryu, & Lee",2022,10.1007/s11469-022-00957-0,A Longitudinal Relationship Between Mother’s Smartphone Addiction to Child’s Smartphone Addiction,International Journal of Mental Health and Addiction,2.1,F
989928,Popat & Tarrant,2022,10.1177/13591045221092884,Exploring adolescents’ perspectives on social media and mental health and well-being,Clinical Child Psychology and Psychiatry,4.1,F
991364,"Arceneaux, Foucault, Giannelos, Ladd, & Zengin",2024,10.1098/rsos.240280,"Facebook increases political knowledge, reduces well-being and informational treatments do little to help",Royal Society Open Science,3.1,F
930911,"Graham, Mason, Riordan, Winter, & Scarf",2021,10.1089/cyber.2020.0217,Taking a Break from Social Media Improves Wellbeing Through Sleep Quality,"Cyberpsychology, Behavior, and Social Networking",3.1,F
152242,Lee et al.,2022,10.1186/s12889-022-13409-0,Social media use and mental health during COVID-19: Meta-analysis,BMC Public Health,1.1,F
382728,Kleemans et al.,2018,10.1080/15213269.2016.1257392,Picture Perfect: The Direct Effect of Manipulated Instagram Photos on Body Image in Adolescent Girls,Media Psychology,3.3,F
239364,"Lambert, Barnstable, Minter, Cooper & McEwan",2022,10.1089/cyber.2021.0324,"Taking a One-Week Break from Social Media Improves Well-Being, Depression, and Anxiety","Cyberpsychology, Behavior, and Social Networking",3.1,F
225931,"Booker, Kelly, & Sacker",2018,10.1186/s12889-018-5220-4,Gender differences in the associations between age trends of social media interaction and well-being,BMC Public Health,2.1,F
216759,"Vuorre, Orben, & Przybylski",2021,10.1177/2167702621994549,There is no evidence that associations between adolescents’ digital technology engagement and mental health problems have increased,Clinical Psychological Science,1.2,T
646095,"Azhari, Toms, Pavlopoulou, Esposito, & Dimitriou",2022,10.1016/j.actpsy.2022.103706,"Social media use in female adolescents: Associations with anxiety, loneliness, and sleep disturbances",Acta Psychologica,1.1,F
409440,"Rosen, Lim, Felt et al.",2014,10.1016/j.chb.2014.01.036,"Media and technology use predicts ill-being among children, preteens and teenagers",Computers in Human Behavior,1.1,F
323864,"Woods, & Scott",2016,10.1016/j.adolescence.2016.05.008,"#Sleepyteens: Social media use in adolescence is associated with poor sleep quality, anxiety, depression and low self-esteem",Journal of Adolescence,1.1,F
489245,Twenge et al.,2020,10.1038/s41562-020-0839-4,Underestimating digital media harm,Nature Human Behaviour,1.2,F
358634,Przybylski & Weinstein,2017,10.1177/0956797616678438,A large-scale test of the goldilocks hypothesis,Psychological Science,1.1,F
788328,"Twenge, Joiner, Rogers & Martin",2020,10.1177/2167702619898179,Considering all the data on digital media use and depressive symptoms,Clinical Psychological Science,1.1,F
813031,"Aalbers, McNally, Heeren et al.",2018,10.1037/xge0000528,Social media and depression symptoms: A network perspective,Journal of Experimental Psychology: General,2.2,F
987448,"Turel, Cavagnaro, & Meshi",2018,10.1016/j.psychres.2018.11.017,"Short abstinence from online social networking sites reduces perceived stress, especially in excessive users",Psychiatry Research,3.1,F
482051,Sherlock & Wagstaff,2019,10.1037/ppm0000182,"Exploring the relationship between frequency of Instagram use, exposure to idealized images, and psychological well-being in women",Psychology of Popular Media Culture,3.3,F
181127,"Schemer, Masur, Geiß, et al.",2021,10.1093/jcmc/zmaa014,The Impact of Internet and Social Media Use on Well-Being,Journal of Computer-Mediated Communication,2.2,F
38122,Schmidt-Persson et al.,2024,10.1001/jamanetworkopen.2024.19881,Screen Media Use and Mental Health of Children and Adolescents: A Secondary Analysis of a Randomized Clinical Trial,JAMA Network Open,3.8,F
47240,"Arendt, Scherr, & Romer",2019,10.1177/1461444819850106,Effects of exposure to self-harm on social media: Evidence from a two-wave panel study among young adults,New Media & Society,2.1,F
14801,"Donati, Durante, Sobbrio, Zejcirovic",2022,10.1016/j.jhealeco.2025.103017,Lost in the Net? Broadband Internet and Youth Mental Health,SSRN Working Paper,3.5,F
68901,Minich & Moreno,2024,10.1371/journal.pone.0298422,Real-world adolescent smartphone use is associated with improvements in mood,"PLOS ONE, 19(5)",1.3,F
208197,Weiß et al.,2022,10.1016/j.jadr.2022.100343,Extraversion moderates social media use and depression,Journal of Affective Disorders Reports,1.1,F
213903,"Hökby, Hadlaczky, Westerlund et al.",2016,10.2196/mental.5925,Are Mental Health Effects of Internet Use Attributable to the Web-Based Content or Perceived Consequences of Usage? A Longitudinal Study of European Adolescents,JMIR Mental Health,2.1,F
310197,Irmer & Schmiedek,2023,10.1038/s44271-023-00013-0,Associations between youth’s daily social media use and well-being are mediated by upward comparisons,Communications Psychology,1.4,F
